"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Plcxd1"	-1.513	-1.874	-1.153	5.994	-8.864	9.17e-08	6.83e-07	0.237
"Exoc6b"	-0.6	-0.743	-0.457	9.13	-8.863	9.19e-08	6.84e-07	0.299
"Blk"	2.847	2.169	3.525	3.898	8.862	9.2e-08	6.84e-07	0.376
"Rab43"	1.051	0.8	1.301	8.259	8.86	9.23e-08	6.86e-07	0.125
"Lmnb1"	1.833	1.396	2.27	6.161	8.857	9.27e-08	6.89e-07	0.28
"Psmc1"	-0.766	-0.948	-0.583	15.128	-8.857	9.28e-08	6.89e-07	0.113
"Ctla2a"	1.909	1.454	2.364	10.857	8.856	9.29e-08	6.9e-07	0.216
"B4galnt1"	-1.86	-2.303	-1.416	11.368	-8.853	9.33e-08	6.92e-07	0.122
"Furin"	1.525	1.162	1.889	10.187	8.853	9.34e-08	6.93e-07	0.123
"Snrpgl2"	0.73	0.556	0.904	11.721	8.851	9.36e-08	6.94e-07	0.243
"Adra2c"	-1.996	-2.471	-1.52	9.74	-8.85	9.37e-08	6.94e-07	0.107
"LOC306079"	0.637	0.485	0.789	13.201	8.849	9.39e-08	6.95e-07	0.098
"RT1-CE16"	2.471	1.882	3.061	15.902	8.847	9.43e-08	6.98e-07	0.289
"Ndufa5"	-0.545	-0.675	-0.415	15.679	-8.845	9.44e-08	6.99e-07	0.097
"Krt32"	1.833	1.396	2.271	3.802	8.845	9.45e-08	6.99e-07	0.156
"Hs3st2"	-2.257	-2.796	-1.719	8.942	-8.844	9.46e-08	7e-07	0.22
"Eef2k"	0.936	0.713	1.16	10.531	8.843	9.49e-08	7.01e-07	0.191
"Cd38"	0.993	0.756	1.23	8.743	8.842	9.5e-08	7.02e-07	0.128
"Fgd6"	1.459	1.111	1.808	7.531	8.839	9.55e-08	7.05e-07	0.201
"Ppcs"	-0.555	-0.687	-0.422	13.19	-8.838	9.55e-08	7.05e-07	0.236
"Igtp"	1.724	1.312	2.136	8.107	8.835	9.6e-08	7.08e-07	0.141
"Armc1"	-0.6	-0.743	-0.456	8.79	-8.833	9.64e-08	7.1e-07	0.147
"Gdap1"	-1.77	-2.193	-1.347	9.214	-8.832	9.65e-08	7.11e-07	0.138
"Miip"	0.617	0.469	0.764	9.093	8.827	9.72e-08	7.16e-07	0.197
