"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Ttc30a1"	-0.731	-0.998	-0.464	6.551	-5.785	2.24e-05	0.000116	0.11
"Apoa4"	3.075	1.952	4.197	5.981	5.783	2.25e-05	0.000116	0.073
"Lysmd2"	-0.529	-0.722	-0.336	12.305	-5.782	2.26e-05	0.000116	0.1
"Rasgef1a"	-1.509	-2.06	-0.958	6.573	-5.782	2.26e-05	0.000116	0.337
"Ccdc126"	-1.376	-1.878	-0.873	7.718	-5.78	2.26e-05	0.000117	0.116
"Hmgb2"	0.878	0.557	1.199	12.035	5.777	2.28e-05	0.000117	0.118
"Kcnab2"	-1.221	-1.667	-0.775	8.386	-5.776	2.28e-05	0.000117	0.184
"Asnsd1"	-0.552	-0.753	-0.35	10.557	-5.776	2.29e-05	0.000118	0.071
"Pacsin1"	-1.437	-1.962	-0.911	8.101	-5.774	2.29e-05	0.000118	0.082
"Akt2"	1.216	0.771	1.661	7.415	5.772	2.3e-05	0.000118	0.129
"Khdrbs2"	-1.804	-2.464	-1.144	7.963	-5.771	2.31e-05	0.000118	0.062
"Mcm3ap"	-0.481	-0.657	-0.305	14.048	-5.771	2.31e-05	0.000118	0.241
"Olfm1"	-0.853	-1.165	-0.541	13.496	-5.771	2.31e-05	0.000118	0.111
"Sh2b2"	0.652	0.414	0.891	10.476	5.771	2.31e-05	0.000118	0.239
"Rab28"	-0.65	-0.888	-0.412	13.509	-5.77	2.31e-05	0.000118	0.133
"Gng3"	-1.523	-2.081	-0.966	10.054	-5.769	2.31e-05	0.000119	0.464
"Slc16a11"	1.885	1.195	2.575	14.45	5.765	2.34e-05	0.00012	0.222
"Bend6"	-1.491	-2.036	-0.945	10.853	-5.763	2.34e-05	0.00012	0.213
"Malt1"	0.753	0.477	1.029	7.254	5.762	2.35e-05	0.00012	0.28
"Rhcg"	3.282	2.08	4.484	3.143	5.762	2.35e-05	0.00012	0.441
"Suclg1"	-0.507	-0.693	-0.321	15.86	-5.762	2.35e-05	0.00012	0.177
"Stxbp1"	-1.363	-1.863	-0.863	10.787	-5.757	2.37e-05	0.000121	0.178
"LOC683313"	3.236	2.049	4.423	6.062	5.754	2.38e-05	0.000122	0.202
"Rps3a"	0.337	0.214	0.461	16.975	5.754	2.38e-05	0.000122	0.175
"Gjd2"	-2.098	-2.868	-1.328	6.986	-5.751	2.4e-05	0.000123	0.319
"Senp2"	-0.575	-0.786	-0.364	6.821	-5.75	2.4e-05	0.000123	0.346
