"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Kcna6"	-0.648	-0.873	-0.422	10.632	-6.052	1.32e-05	6.2e-05	0.133
"Zcchc12"	-1.255	-1.693	-0.817	9.002	-6.052	1.32e-05	6.2e-05	0.151
"Cdc123"	-0.394	-0.531	-0.256	13.153	-6.05	1.33e-05	6.22e-05	0.155
"Gabbr2"	-1.836	-2.476	-1.195	11.413	-6.05	1.33e-05	6.22e-05	0.179
"Parvb"	0.741	0.482	0.999	9.62	6.046	1.34e-05	6.26e-05	0.566
"Kcnh5"	-2.065	-2.786	-1.344	3.752	-6.045	1.34e-05	6.27e-05	0.271
"Otub1"	-0.714	-0.963	-0.465	8.433	-6.043	1.35e-05	6.3e-05	0.239
"Depdc7"	-0.746	-1.006	-0.485	12.179	-6.042	1.35e-05	6.3e-05	0.152
"Atp6v1c1"	-0.595	-0.803	-0.387	12.256	-6.042	1.35e-05	6.31e-05	0.278
"Arpc5l"	-0.418	-0.564	-0.272	14.881	-6.042	1.35e-05	6.31e-05	0.167
"Nf2"	0.491	0.32	0.663	10.727	6.041	1.35e-05	6.31e-05	0.347
"Glp1r"	-3.406	-4.597	-2.216	3.549	-6.04	1.36e-05	6.32e-05	0.159
"Pop5"	-0.495	-0.668	-0.322	10.248	-6.04	1.36e-05	6.33e-05	0.099
"Mocs3"	0.851	0.553	1.148	6.879	6.038	1.36e-05	6.35e-05	0.128
"Cebpg"	0.705	0.458	0.951	8.751	6.037	1.36e-05	6.36e-05	0.117
"Nsf"	-1.409	-1.902	-0.917	8.358	-6.035	1.37e-05	6.37e-05	0.092
"Znhit6"	-0.644	-0.869	-0.419	11.647	-6.036	1.37e-05	6.37e-05	0.423
"Mrps25"	-0.581	-0.784	-0.377	14.383	-6.033	1.37e-05	6.4e-05	0.149
"Slc18a1"	-1.191	-1.608	-0.775	6.567	-6.033	1.37e-05	6.4e-05	0.059
"Mctp1"	-1.259	-1.699	-0.818	5.653	-6.031	1.38e-05	6.43e-05	0.277
"Rimbp3"	-1.004	-1.356	-0.652	5.425	-6.027	1.39e-05	6.47e-05	0.167
"Shd"	-0.919	-1.241	-0.597	12.368	-6.025	1.4e-05	6.5e-05	0.097
"Gnmt"	-1.874	-2.53	-1.217	6.249	-6.024	1.4e-05	6.5e-05	0.133
"Rassf1"	0.632	0.41	0.853	10.633	6.022	1.4e-05	6.53e-05	0.302
"Arpc5"	0.622	0.404	0.839	13.592	6.022	1.4e-05	6.53e-05	0.175
"C1qtnf1"	1.396	0.907	1.885	7.716	6.021	1.41e-05	6.54e-05	0.072
"Tmco4"	0.617	0.401	0.833	11.033	6.02	1.41e-05	6.54e-05	0.089
"Pdxp"	-1.012	-1.366	-0.657	11.967	-6.02	1.41e-05	6.54e-05	0.102
"Dcakd"	0.577	0.374	0.779	10.265	6.019	1.41e-05	6.56e-05	0.074
"Abca9"	1.369	0.889	1.849	5.66	6.018	1.41e-05	6.56e-05	0.256
"Prkrip1"	-0.427	-0.577	-0.278	11.056	-6.018	1.41e-05	6.56e-05	0.198
"Fxyd1"	1.097	0.712	1.482	13.224	6.016	1.42e-05	6.59e-05	0.139
"LOC298125"	0.57	0.37	0.769	15.24	6.015	1.42e-05	6.59e-05	0.186
"Pcyt1a"	0.653	0.424	0.882	10.158	6.015	1.42e-05	6.6e-05	0.186
